GameTitle,Profit,GenreRank
"Pirates of the Caribbean",0.22,286
"Percy Jackson and the Olympians: The Lightning Thief",0.22,286
"Naruto: Path of the Ninja 2",0.22,286
"Yokai Watch",0.21,301
"Final Fantasy X / X-2 HD Remaster",0.21,301
Suikoden,0.21,301
"Tales of Symphonia",0.21,301
"InuYasha: The Secret of the Cursed Mask",0.21,301
"EverQuest Online Adventures",0.21,301
"Dungeon Siege III",0.21,301
"Jeanne d'Arc",0.21,301
"Baten Kaitos: Eternal Wings and the Lost Ocean",0.21,301
"Luminous Arc 2",0.21,301
"Dragon Quest VII: Warriors of Eden",0.2,311
"The Witcher 3: Wild Hunt",0.2,311
"Tales of Xillia 2",0.2,311
"Resonance of Fate",0.2,311
"Star Ocean: First Departure",0.2,311
"Dark Souls II",0.2,311
"Rogue Galaxy: Director's Cut",0.2,311
"Gauntlet: Seven Sorrows",0.2,311
"Etrian Odyssey",0.2,311
Folklore,0.2,311
"Glory of Heracles",0.2,311
"Yu-Gi-Oh! Double Pack",0.2,311
"Justice League Heroes",0.2,311
"Dragon Quest V: Hand of the Heavenly Bride",0.19,324
"Phantasy Star Portable",0.19,324
"Baldur's Gate: Dark Alliance II",0.19,324
"Wild ARMs 2",0.19,324
Drakengard,0.19,324
"X-Men Legends II: Rise of Apocalypse",0.19,324
"Eternal Sonata",0.19,324
"Alpha Protocol",0.19,324
"Lunar 2: Eternal Blue Complete",0.19,324
"Eternal Sonata",0.19,324
"Dungeons & Dragons: Eye of the Beholder",0.19,324
"Dungeons & Dragons Heroes",0.19,324
"Harvest Moon: Another Wonderful Life",0.19,324
"Lunar: Silver Star Harmony",0.19,324
"Dragon Ball Z: Harukanaru Densetsu",0.19,324
"Legend of Mana",0.18,339
"Dragon Quest Swords: The Masked Queen and the Tower of Mirrors",0.18,339
"Radiata Stories",0.18,339
"Shin Megami Tensei: Persona 3 Portable",0.18,339
"Soul Sacrifice",0.18,339
"Mystery Dungeon: Shiren the Wanderer",0.18,339
"Rune Factory: Frontier",0.18,339
"Project X Zone",0.18,339
"Kingdom Under Fire: Circle of Doom",0.18,339
"Arc the Lad: Twilight of the Spirits",0.18,339
