GameTitle,Profit,GenreRank
"SaGa 2: Hihou Densetsu - Goddess of Destiny",0.17,391
"Hanjuku Eiyuu Tai 3D",0.17,391
".hack//G.U. Vol.3//Redemption",0.17,391
".hack//G.U. Vol.1//Rebirth",0.17,391
"Digimon Story: Cyber Sleuth",0.17,391
"Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon (JP sales)",0.17,391
"Far East of Eden II: Manji Maru",0.17,391
"Dragon Quest X",0.17,391
"Dragon Ball: Fusions",0.17,391
"Xenoblade Chronicles",0.16,404
"Shin Megami Tensei: Persona 3 FES",0.16,404
"Digimon World 2",0.16,404
"Phantasy Star Online Episode I & II",0.16,404
"Valkyrie Profile: Covenant of the Plume",0.16,404
"Ragnarok Odyssey",0.16,404
"Valkyrie Profile: Lenneth",0.16,404
"Star Ocean: Second Evolution",0.16,404
"Etrian Odyssey II: Heroes of Lagaard",0.16,404
"Final Fantasy V",0.16,404
"Phantasy Star Online 2",0.16,404
"PoPoLoCrois: Hajimari no Bouken",0.16,404
"The Legend of Heroes VII: The Trail of Zero",0.16,404
"SD Gundam G Generation 3D",0.16,404
"Summon Night EX-Thesis: Yoake no Tsubasa",0.16,404
".hack//G.U. Vol.2//Reminisce (jp sales)",0.16,404
"Kingdom Hearts: Birth by Sleep - Final Mix",0.16,404
"Toriko: Gourmet Monsters!",0.16,404
"Diablo III",0.15,422
"Final Fantasy Type-0",0.15,422
"Rune Factory 2: A Fantasy Harvest Moon",0.15,422
"Project X Zone",0.15,422
EverGrace,0.15,422
"Disgaea 2: Cursed Memories",0.15,422
"Final Fantasy XI",0.15,422
"Sakura Wars: So Long, My Love",0.15,422
"Suikoden Tierkreis",0.15,422
"Dragon Ball Z: Harukanaru Densetsu (JP sales)",0.15,422
"Rudra no Hihou",0.15,422
"Oreshika: Tainted Bloodlines",0.15,422
"Tokyo Xanadu",0.15,422
"Tamagotchi no Narikiri Channel",0.15,422
"Summon Night 5",0.15,422
"Black * Rock Shooter: The Game",0.15,422
"The Elder Scrolls IV: Oblivion",0.14,438
"Xenoblade Chronicles X",0.14,438
"Tales of the Abyss",0.14,438
"Disgaea 4: A Promise Unforgotten",0.14,438
"Rune Factory: A Fantasy Harvest Moon",0.14,438
"The Legend of Heroes: Trails of Cold Steel",0.14,438
"Shin Megami Tensei: Devil Summoner - Soul Hackers",0.14,438
"Star Ocean 5: Integrity and Faithlessness",0.14,438
"Shin Megami Tensei: Strange Journey",0.14,438
"Atelier Ayesha: The Alchemist of Dusk",0.14,438
"Beyblade: Metal Fusion",0.14,438
"Etrian Odyssey Untold: The Millennium Girl",0.14,438
"Shin Megami Tensei IV: Final",0.14,438
"Shin Megami Tensei: Devil Summoner - Soul Hackers",0.14,438
"Wizardry VII: Gadeia no Houshu",0.14,438
"Tamagotchi no Appare! Niji Venture",0.14,438
"Lunar 2: Eternal Blue(sales, but wrong system)",0.14,438
